Name,ID,Class,Section,Phone,Email,Math,English,Hindi,Science,Economics,History,Geography,Telugu,Physics,Chemistry
Student_0,2fe84403,7,C,7087722002,student_0@school.com,,,,95.0,42.0,,,86.0,51.0,60.0
Student_1,7216a163,7,D,8450633973,student_1@school.com,,,63.0,,77.0,74.0,96.0,,,61.0
Student_2,1903617c,10,A,7700205748,student_2@school.com,,99.0,40.0,85.0,,,54.0,,,69.0
Student_3,ad06a51c,10,C,7758575952,student_3@school.com,,60.0,,89.0,62.0,82.0,,,,79.0
Student_4,15fa76ee,6,E,6657101442,student_4@school.com,,75.0,98.0,,55.0,,,94.0,55.0,
Student_5,f60eeb49,10,A,8648807133,student_5@school.com,,,46.0,62.0,64.0,,94.0,94.0,,
Student_6,c03fa1da,7,B,8197178315,student_6@school.com,,,83.0,49.0,47.0,70.0,86.0,,,
Student_7,50b1471f,8,E,7613719042,student_7@school.com,61.0,,,72.0,,,,94.0,73.0,62.0
Student_8,168b23cc,7,B,6411592207,student_8@school.com,97.0,44.0,79.0,,,98.0,,,72.0,
Student_9,3fc5588c,8,C,7395984709,student_9@school.com,54.0,46.0,49.0,,44.0,,,84.0,,
Student_10,62d2a3b2,8,A,8282696950,student_10@school.com,,98.0,76.0,,,56.0,,,77.0,63.0
Student_11,24672789,9,C,9708662035,student_11@school.com,52.0,52.0,,,,65.0,48.0,,64.0,
Student_12,c1fa54d3,10,D,6346684364,student_12@school.com,,,,77.0,89.0,43.0,86.0,,46.0,
Student_13,1b6a8d65,6,D,7799164364,student_13@school.com,,,,,,77.0,99.0,82.0,43.0,96.0
Student_14,50773b98,8,D,6671239464,student_14@school.com,42.0,56.0,,55.0,,,73.0,,,87.0
Student_15,456ce588,9,C,9164836110,student_15@school.com,,,,,59.0,83.0,,51.0,42.0,100.0
Student_16,4e2c0ef2,9,D,6723774305,student_16@school.com,,,,82.0,,71.0,,49.0,99.0,53.0
Student_17,e6a57121,11,D,6640085457,student_17@school.com,,,50.0,75.0,68.0,,,,86.0,81.0
Student_18,a21e1b00,11,E,8353659940,student_18@school.com,46.0,72.0,57.0,60.0,49.0,,,,,
Student_19,64ef0dc4,11,C,9147776103,student_19@school.com,67.0,58.0,41.0,,,,,76.0,,98.0
Student_20,de1a2d00,8,E,9367437527,student_20@school.com,65.0,,99.0,80.0,76.0,41.0,,,,
Student_21,3e1bb6ef,8,B,9743186271,student_21@school.com,,89.0,70.0,91.0,80.0,,,82.0,,
Student_22,46b666ce,8,C,6176043237,student_22@school.com,,,61.0,,46.0,,,50.0,69.0,45.0
Student_23,aecfff41,7,D,7216062765,student_23@school.com,,43.0,76.0,65.0,,,,91.0,56.0,
Student_24,6d6c3599,11,A,6515944981,student_24@school.com,64.0,,,74.0,,96.0,,,52.0,81.0
Student_25,68b46289,11,A,6782852595,student_25@school.com,,,,79.0,80.0,,,72.0,85.0,91.0
Student_26,96d93a96,9,D,9660236238,student_26@school.com,,47.0,94.0,,,,74.0,77.0,65.0,
Student_27,a24ef5a9,9,D,8025661473,student_27@school.com,,,72.0,,51.0,59.0,79.0,,,49.0
Student_28,e1980566,6,A,8893078215,student_28@school.com,95.0,49.0,,,,62.0,,88.0,,41.0
Student_29,b08ebe56,7,C,7683951383,student_29@school.com,97.0,54.0,,76.0,,92.0,,,51.0,
Student_30,fa335f6c,10,B,8669893114,student_30@school.com,80.0,,,,81.0,83.0,56.0,71.0,,
Student_31,6fb62136,8,D,8866891255,student_31@school.com,70.0,,56.0,,,77.0,71.0,,,98.0
Student_32,b1861323,10,D,8283575615,student_32@school.com,51.0,,91.0,,52.0,,52.0,55.0,,
Student_33,f3f99e6a,8,D,7379626489,student_33@school.com,59.0,96.0,52.0,,61.0,100.0,,,,
Student_34,8ecfa92f,6,B,9897133019,student_34@school.com,67.0,,,,98.0,60.0,,70.0,53.0,
Student_35,efefddfa,9,C,8430987900,student_35@school.com,98.0,54.0,79.0,,,,54.0,,,82.0
Student_36,b0d253f4,9,D,6757184828,student_36@school.com,,80.0,70.0,64.0,,,55.0,99.0,,
Student_37,74a92e5e,6,A,6697054653,student_37@school.com,44.0,57.0,51.0,,97.0,44.0,,,,
Student_38,c764e668,6,D,8789050651,student_38@school.com,43.0,,,54.0,,79.0,,59.0,85.0,
Student_39,13f9b2c1,9,D,6178461603,student_39@school.com,70.0,,,94.0,65.0,67.0,,60.0,,
Student_40,743cbd6b,7,D,8517189480,student_40@school.com,,45.0,99.0,,,66.0,,,54.0,71.0
Student_41,89391270,10,D,7404560549,student_41@school.com,94.0,,,67.0,,,93.0,73.0,83.0,
Student_42,1df52493,6,D,8011656286,student_42@school.com,73.0,,93.0,96.0,93.0,,96.0,,,
Student_43,1b0f4b6f,7,D,8999096425,student_43@school.com,,81.0,,81.0,,,54.0,83.0,48.0,
Student_44,f19c7083,6,E,6590252847,student_44@school.com,,52.0,,74.0,,74.0,65.0,75.0,,
Student_45,fa215206,7,B,6587157389,student_45@school.com,95.0,93.0,,,77.0,72.0,,,,58.0
Student_46,7e1e1b69,11,D,8008278814,student_46@school.com,66.0,,,56.0,66.0,,63.0,,,83.0
Student_47,1d7ef684,9,A,8523231211,student_47@school.com,43.0,69.0,,93.0,95.0,,,,,92.0
Student_48,4525b93c,9,B,9125200602,student_48@school.com,,,82.0,,,65.0,83.0,,72.0,97.0
Student_49,a66cfd31,11,A,9336983730,student_49@school.com,,,96.0,,62.0,96.0,,73.0,94.0,
Student_50,a8cd26fd,8,C,7945220431,student_50@school.com,,,57.0,,63.0,94.0,84.0,,85.0,
Student_51,80bef1e6,7,D,9017848821,student_51@school.com,54.0,41.0,89.0,63.0,,,83.0,,,
Student_52,2f63de4a,9,A,8263733262,student_52@school.com,64.0,,,92.0,55.0,60.0,,,61.0,
Student_53,a5d02929,7,A,9421908001,student_53@school.com,97.0,,86.0,,,93.0,,,58.0,62.0
Student_54,271b3da9,11,E,8286283692,student_54@school.com,91.0,,54.0,,69.0,,56.0,,,90.0
Student_55,865c38e7,9,A,6063004183,student_55@school.com,61.0,,87.0,,,63.0,66.0,92.0,,
Student_56,7be4eae4,6,C,8308976758,student_56@school.com,88.0,,,96.0,50.0,,78.0,,80.0,
Student_57,f327e0f2,8,B,9431734956,student_57@school.com,,,97.0,82.0,79.0,,48.0,98.0,,
Student_58,f05b6ae1,11,A,6828551522,student_58@school.com,60.0,76.0,,93.0,99.0,,,,54.0,
Student_59,c93e29aa,8,E,9542315469,student_59@school.com,83.0,,69.0,,93.0,,,83.0,,86.0
Student_60,7f0db5cf,9,B,6062484531,student_60@school.com,,41.0,51.0,54.0,47.0,,,,,97.0
Student_61,8174da40,8,B,6733079504,student_61@school.com,,40.0,,,,84.0,61.0,97.0,,71.0
Student_62,cd5fc677,9,A,8745829927,student_62@school.com,,70.0,,46.0,59.0,94.0,,,40.0,
Student_63,07fcb361,6,A,9267728094,student_63@school.com,,,76.0,,40.0,,,63.0,71.0,84.0
Student_64,0d57315d,10,A,7515756623,student_64@school.com,,40.0,49.0,88.0,70.0,,,,,93.0
Student_65,221cba58,11,D,9204912764,student_65@school.com,,82.0,84.0,,82.0,77.0,,88.0,,
Student_66,6bc9c848,10,B,8419786128,student_66@school.com,43.0,,77.0,,100.0,49.0,,52.0,,
Student_67,bf5c42d6,9,D,9016450125,student_67@school.com,94.0,,86.0,64.0,,53.0,,,,49.0
Student_68,6df98e4d,6,C,9535999473,student_68@school.com,98.0,,53.0,,80.0,79.0,,,52.0,
Student_69,8a1dc66d,11,D,9750970945,student_69@school.com,75.0,58.0,51.0,91.0,,,64.0,,,
Student_70,53f0ee45,11,C,8872200961,student_70@school.com,54.0,56.0,,58.0,,,,81.0,60.0,
Student_71,789d0b3f,9,B,8715813895,student_71@school.com,,64.0,82.0,,,74.0,,75.0,,75.0
Student_72,6df26463,7,B,6622601998,student_72@school.com,65.0,54.0,,,,78.0,,46.0,89.0,
Student_73,589cf904,7,E,8316983536,student_73@school.com,64.0,51.0,91.0,65.0,,,73.0,,,
Student_74,78ffe97e,10,B,6495350153,student_74@school.com,43.0,,,,70.0,66.0,,,56.0,83.0
Student_75,1b483068,10,B,8681712490,student_75@school.com,100.0,,,,66.0,,,96.0,40.0,82.0
Student_76,7b68ad22,8,E,6373882812,student_76@school.com,58.0,48.0,,,,82.0,92.0,,49.0,
Student_77,a49a00fa,7,B,8740573964,student_77@school.com,,,,75.0,87.0,57.0,,,67.0,42.0
Student_78,f1c5bc97,8,E,7552634278,student_78@school.com,,77.0,69.0,76.0,,50.0,,67.0,,
Student_79,5cf9b5e7,8,B,9576950721,student_79@school.com,,,74.0,,,44.0,,92.0,47.0,98.0
Student_80,65f06292,10,C,7852161475,student_80@school.com,,54.0,,74.0,,77.0,61.0,41.0,,
Student_81,2f812c7d,9,A,7162266528,student_81@school.com,74.0,,,,,91.0,84.0,,77.0,83.0
